Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
3,C. Sainz  Ferrari,55,Ferrari,Ferrari,53.0,+1'02.475 1:31'43.476,9.204,,202.614,Race,2.0,15.0,
4,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,53.0,+1'05.607 1:31'46.608,3.132,,202.498,Race,2.0,12.0,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,53.0,+1'07.533 1:31'48.534,1.926,,202.428,Race,2.0,10.0,
6,F. Alonso  Alpine,14,Alpine,Renault,53.0,+1'21.321 1:32'02.322,13.788,,201.922,Race,2.0,8.0,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,53.0,+1'27.224 1:32'08.225,5.903,,201.707,Race,2.0,7.0,
8,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,53.0,+1'28.955 1:32'09.956,1.731,,201.643,Race,2.0,4.0,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,53.0,+1'30.076 1:32'11.077,1.121,,201.603,Race,2.0,2.0,
10,G. Russell  Williams,63,Williams,Mercedes,53.0,+1'40.551 1:32'21.552,10.475,,201.221,Race,2.0,1.0,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,53.0,+1'46.198 1:32'27.199,5.647,,201.017,Race,2.0,,
12,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,52.0,+1 Lap 1:30'42.256,1 Lap,,201.024,Race,2.0,,
13,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,52.0,+1 Lap 1:31'17.819,35.563,,199.719,Race,2.0,,
14,E. Ocon  Alpine,31,Alpine,Renault,52.0,+1 Lap 1:31'30.744,12.925,,199.249,Race,2.0,,
15,C. Leclerc  Ferrari,16,Ferrari,Ferrari,52.0,+1 Lap 1:31'38.660,7.916,,198.962,Race,2.0,,
16,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,52.0,+1 Lap 1:32'03.513,24.853,,198.067,Race,2.0,,
17,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,52.0,+1 Lap 1:32'22.488,18.975,,197.389,Race,3.0,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,51.0,+2 Laps 1:30'57.024,1 Lap,,196.622,Race,2.0,,
dnf,N. Latifi  Williams,6,Williams,Mercedes,47.0,+6 Laps 1:21'01.414,4 Laps,,203.39,Race,2.0,,Abandono
dnf,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,32.0,+21 Laps 55'42.175,15 Laps,,201.357,Race,2.0,,Abandono
