Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
14,G. Russell  Williams,63,Williams,Mercedes,20.0,+1.651 1'11.274,0.094,,215.119,FP3,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,20.0,+1.676 1'11.299,0.025,,215.043,FP3,,,
16,C. Sainz  Ferrari,55,Ferrari,Ferrari,5.0,+2.317 1'11.940,0.641,,213.127,FP3,,,
17,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,29.0,+2.357 1'11.980,0.04,,213.009,FP3,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,23.0,+2.513 1'12.136,0.156,,212.548,FP3,,,
19,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,28.0,+2.539 1'12.162,0.026,,212.471,FP3,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,20.0,+2.743 1'12.366,0.204,,211.872,FP3,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,9.0,1'09.829,,,219.57,Q1,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,9.0,+0.193 1'10.022,0.193,,218.965,Q1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,3.0,+0.207 1'10.036,0.014,,218.921,Q1,,,
4,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,8.0,+0.221 1'10.050,0.014,,218.877,Q1,,,
5,N. Latifi  Williams,6,Williams,Mercedes,9.0,+0.264 1'10.093,0.043,,218.743,Q1,,,
6,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.285 1'10.114,0.021,,218.678,Q1,,,
7,E. Ocon  Alpine,31,Alpine,Renault,6.0,+0.350 1'10.179,0.065,,218.475,Q1,,,
8,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.390 1'10.219,0.04,,218.351,Q1,,,
9,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,7.0,+0.426 1'10.255,0.036,,218.239,Q1,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,6.0,+0.445 1'10.274,0.019,,218.18,Q1,,,
11,G. Russell  Williams,63,Williams,Mercedes,8.0,+0.553 1'10.382,0.108,,217.845,Q1,,,
12,F. Alonso  Alpine,14,Alpine,Renault,3.0,+0.606 1'10.435,0.053,,217.681,Q1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,8.0,+0.609 1'10.438,0.003,,217.672,Q1,,,
14,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,11.0,+0.633 1'10.462,0.024,,217.598,Q1,,,
15,L. Norris  McLaren F1,4,McLaren,Mercedes,8.0,+0.660 1'10.489,0.027,,217.514,Q1,,,
16,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,9.0,+0.701 1'10.530,0.041,,217.388,Q1,,,
17,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,7.0,+0.902 1'10.731,0.201,,216.77,Q1,,,
18,R. Kubica  Alfa Romeo,88,Alfa Romeo,Ferrari,9.0,+1.472 1'11.301,0.57,,215.037,Q1,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,11.0,+1.558 1'11.387,0.086,,214.778,Q1,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,10.0,+2.046 1'11.875,0.488,,213.32,Q1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,5.0,1'09.071,,,221.98,Q2,,,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,3.0,+0.366 1'09.437,0.366,,220.81,Q2,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,5.0,+0.470 1'09.541,0.104,,220.48,Q2,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,4.0,+0.655 1'09.726,0.185,,219.895,Q2,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,4.0,+0.698 1'09.769,0.043,,219.759,Q2,,,
6,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,4.0,+0.794 1'09.865,0.096,,219.457,Q2,,,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,4.0,+0.799 1'09.870,0.005,,219.441,Q2,,,
8,E. Ocon  Alpine,31,Alpine,Renault,5.0,+0.848 1'09.919,0.049,,219.288,Q2,,,
9,F. Alonso  Alpine,14,Alpine,Renault,4.0,+0.949 1'10.020,0.101,,218.971,Q2,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,3.0,+0.962 1'10.033,0.013,,218.931,Q2,,,
