Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.694 1'26.828,,,244.248,Quali,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.710 1'26.844,,,244.203,Quali,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,,+0.763 1'26.897,,,244.054,Quali,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+0.765 1'26.899,,,244.048,Quali,,,
8,G. Russell  Williams,63,Williams,Mercedes,,+0.837 1'26.971,,,243.846,Quali,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.873 1'27.007,,,243.745,Quali,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+1.045 1'27.179,,,243.265,Quali,,,
11,F. Alonso  Alpine,14,Alpine,Renault,,+1.111 1'27.245,,,243.08,Quali,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+1.139 1'27.273,,,243.002,Quali,,,
13,E. Ocon  Alpine,31,Alpine,Renault,,+1.206 1'27.340,,,242.816,Quali,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.483 1'27.617,,,242.048,Quali,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,+1.531 1'27.665,,,241.916,Quali,,,
16,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+1.909 1'28.043,,,240.877,Quali,,,
17,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.928 1'28.062,,,240.825,Quali,,,
18,N. Latifi  Williams,6,Williams,Mercedes,,+2.120 1'28.254,,,240.301,Quali,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+2.604 1'28.738,,,238.991,Quali,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+2.917 1'29.051,,,238.151,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,52.0,1:58'23.284,,,155.183,Race,2.0,25.0,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,52.0,+3.871 1:58'27.155,3.871,,155.099,Race,2.0,18.0,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,52.0,+11.125 1:58'34.409,7.254,,154.94,Race,2.0,15.0,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,52.0,+28.573 1:58'51.857,17.448,,154.561,Race,2.0,12.0,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,52.0,+42.624 1:59'05.908,14.051,,154.257,Race,2.0,10.0,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,52.0,+43.454 1:59'06.738,0.830,,154.239,Race,2.0,8.0,
7,F. Alonso  Alpine,14,Alpine,Renault,52.0,+1'12.093 1:59'35.377,28.639,,153.624,Race,2.0,6.0,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,52.0,+1'14.289 1:59'37.573,2.196,,153.577,Race,2.0,4.0,
9,E. Ocon  Alpine,31,Alpine,Renault,52.0,+1'16.162 1:59'39.446,1.873,,153.537,Race,2.0,2.0,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,52.0,+1'22.065 1:59'45.349,5.903,,153.411,Race,2.0,1.0,
11,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,52.0,+1'25.327 1:59'48.611,3.262,,153.341,Race,3.0,,
12,G. Russell  Williams,63,Williams,Mercedes,51.0,+1 Lap 1:58'23.643,1 Lap,,152.19,Race,2.0,,
13,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,51.0,+1 Lap 1:58'28.035,4.392,,152.096,Race,2.0,,
14,N. Latifi  Williams,6,Williams,Mercedes,51.0,+1 Lap 1:58'29.618,1.583,,152.062,Race,2.0,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,51.0,+1 Lap 1:58'30.736,1.118,,152.038,Race,2.0,,
16,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,51.0,+1 Lap 1:58'35.676,4.940,,151.932,Race,4.0,,
17,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,51.0,+1 Lap 1:59'29.823,54.147,,150.785,Race,2.0,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,51.0,+1 Lap 1:59'31.393,1.570,,150.752,Race,2.0,,
dnf,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,40.0,+12 Laps 1:41'35.184,11 Laps,,139.096,Race,3.0,,Caja de cambios
dnf,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,0.0,,,,,Race,,,ColisiÃ³n
