Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
20,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,11.0,+3.217 1'19.781,0.301,,221.511,FP1,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,25.0,1'15.551,,,233.913,FP2,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,26.0,+0.010 1'15.561,0.01,,233.882,FP2,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,30.0,+0.078 1'15.629,0.068,,233.672,FP2,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,30.0,+0.283 1'15.834,0.205,,233.04,FP2,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,28.0,+0.820 1'16.371,0.537,,231.401,FP2,,,
6,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,25.0,+0.860 1'16.411,0.04,,231.28,FP2,,,
7,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,26.0,+0.868 1'16.419,0.008,,231.256,FP2,,,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,23.0,+0.934 1'16.485,0.066,,231.057,FP2,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,25.0,+0.962 1'16.513,0.028,,230.972,FP2,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,25.0,+1.186 1'16.737,0.224,,230.298,FP2,,,
11,E. Ocon  Alpine,31,Alpine,Renault,27.0,+1.266 1'16.817,0.08,,230.058,FP2,,,
12,N. Latifi  Williams,6,Williams,Mercedes,29.0,+1.272 1'16.823,0.006,,230.04,FP2,,,
13,F. Alonso  Alpine,14,Alpine,Renault,27.0,+1.284 1'16.835,0.012,,230.004,FP2,,,
14,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,5.0,+1.448 1'16.999,0.164,,229.514,FP2,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,27.0,+1.541 1'17.092,0.093,,229.237,FP2,,,
16,G. Russell  Williams,63,Williams,Mercedes,31.0,+1.628 1'17.179,0.087,,228.979,FP2,,,
17,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,27.0,+1.722 1'17.273,0.094,,228.7,FP2,,,
18,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,24.0,+1.730 1'17.281,0.008,,228.677,FP2,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,28.0,+1.799 1'17.350,0.069,,228.473,FP2,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,16.0,+2.306 1'17.857,0.507,,226.985,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,18.0,1'14.958,,,235.764,FP3,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,17.0,+0.456 1'15.414,0.456,,234.338,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,18.0,+0.557 1'15.515,0.101,,234.025,FP3,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,18.0,+0.593 1'15.551,0.036,,233.913,FP3,,,
