Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
16,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,20.0,+2.096 1'13.390,0.061,,163.689,FP3,,,
17,G. Russell  Williams,63,Williams,Mercedes,29.0,+2.153 1'13.447,0.057,,163.562,FP3,,,
18,N. Latifi  Williams,6,Williams,Mercedes,22.0,+2.181 1'13.475,0.028,,163.5,FP3,,,
19,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,30.0,+2.228 1'13.522,0.047,,163.395,FP3,,,
20,E. Ocon  Alpine,31,Alpine,Renault,18.0,+2.320 1'13.614,0.092,,163.191,FP3,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,1'10.938,,,169.347,Q1,,,
2,C. Leclerc  Ferrari,16,Ferrari,Ferrari,10.0,+0.175 1'11.113,0.175,,168.931,Q1,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,7.0,+0.186 1'11.124,0.011,,168.905,Q1,,,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,7.0,+0.383 1'11.321,0.197,,168.438,Q1,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,8.0,+0.386 1'11.324,0.003,,168.431,Q1,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+0.622 1'11.560,0.236,,167.875,Q1,,,
7,L. Hamilton  Mercedes,44,Mercedes,Mercedes,14.0,+0.684 1'11.622,0.062,,167.73,Q1,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,9.0,+0.706 1'11.644,0.022,,167.679,Q1,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,11.0,+0.720 1'11.658,0.014,,167.646,Q1,,,
10,E. Ocon  Alpine,31,Alpine,Renault,12.0,+0.802 1'11.740,0.082,,167.454,Q1,,,
